# Bitwarden source lock and graph inventory

Generated at 2026-09-13T22:01:24.419185+00:00.

Repositories enumerated: 68. Initial clones use depth 1 on each default branch. Existing checkout policy is fetch then merge --ff-only only when clean.

| Repository | Branch | Remote commit | Local commit | Sync | KiB | Graph |
| passkey-rs | main | `043279e92e2eb5f509bf87eb7fa50987fd377e32` | `043279e92e2eb5f509bf87eb7fa50987fd377e32` | CLONED_DEPTH_1 | 2300 | SEMANTIC_FALLBACK_BUILT |
| rustcrypto-formats | master | `408348415c63fd06c7f179573c645ab23e216a1f` | `408348415c63fd06c7f179573c645ab23e216a1f` | CLONED_DEPTH_1 | 8808 | SEMANTIC_FALLBACK_BUILT |
| com.bitwarden.desktop | master | `45efb784cb0911b5122615d60331a36998eb8fd4` | `45efb784cb0911b5122615d60331a36998eb8fd4` | CLONED_DEPTH_1 | 196 | SEMANTIC_FALLBACK_BUILT |
| mobile | main | `b543459f8d71324aa11914da1e6f6ad3d7abce54` | `b543459f8d71324aa11914da1e6f6ad3d7abce54` | CLONED_DEPTH_1 | 88868 | SEMANTIC_FALLBACK_BUILT |
| authenticator-android | main | `1fa1322827a4fefc1cac4666402e6ef3b4aceded` | `1fa1322827a4fefc1cac4666402e6ef3b4aceded` | CLONED_DEPTH_1 | 15024 | SEMANTIC_FALLBACK_BUILT |
| authenticator-ios | main | `9fbbceb1bd030a6360ba50e4c143ea5440e7428f` | `9fbbceb1bd030a6360ba50e4c143ea5440e7428f` | CLONED_DEPTH_1 | 35084 | SEMANTIC_FALLBACK_BUILT |
| importer | master | `db88da0c335b7b595b34954885ca34525dc3952e` | `db88da0c335b7b595b34954885ca34525dc3952e` | CLONED_DEPTH_1 | 944 | GRAPH_BUILT |
| adr | master | `a80f52e2076cac2dac7f3b743b3f5e2e398ce01f` | `a80f52e2076cac2dac7f3b743b3f5e2e398ce01f` | CLONED_DEPTH_1 | 344 | GRAPH_BUILT |
| desktop | master | `d7674f5c91cc620fbcb0c48347c78c4cbafff8ab` | `d7674f5c91cc620fbcb0c48347c78c4cbafff8ab` | CLONED_DEPTH_1 | 19980 | SEMANTIC_FALLBACK_BUILT |
| jslib | master | `6008a03395989060e984f6bc331642367ac1ab79` | `6008a03395989060e984f6bc331642367ac1ab79` | CLONED_DEPTH_1 | 12808 | GRAPH_BUILT |
| web | master | `ee4afdd0f215ddbfdd0e90bd229dfde6b4a4bffb` | `ee4afdd0f215ddbfdd0e90bd229dfde6b4a4bffb` | CLONED_DEPTH_1 | 14436 | GRAPH_BUILT |
| cli | master | `09d1e15e69dd9246aa4e177409bb4679cbced700` | `09d1e15e69dd9246aa4e177409bb4679cbced700` | CLONED_DEPTH_1 | 1548 | GRAPH_BUILT |
| help | master | `18aa730c0156f7e25da39ad81bf13809b13471c6` | `18aa730c0156f7e25da39ad81bf13809b13471c6` | CLONED_DEPTH_1 | 366440 | SEMANTIC_FALLBACK_BUILT |
| docs | master | `3cc9c24ed38fe15314446162469d91d6f5745b22` | `3cc9c24ed38fe15314446162469d91d6f5745b22` | CLONED_DEPTH_1 | 400 | GRAPH_BUILT |

Coverage limits:

- `GRAPH_BUILT` represents a nonempty Graphify AST structural graph plus its graph JSON and report. `server` has no HTML because Graphify rejected a 5,412-node aggregated view above its 5,000-node visualization limit.
- `SEMANTIC_FALLBACK_BUILT` represents a nonempty provenance-backed repository/README/license metadata graph after Graphify produced no structural graph or an empty structural graph. It is not AST coverage.
- Selected integration evidence is injected as `terra_semantic` nodes and EXTRACTED `supported_by` edges; see `semantic-injection.json` for source paths and commit pins.
- No semantic token counts are reported because no provider token telemetry exists.
- Generated graph outputs are locally ignored via each checkout `.git/info/exclude`.
